Year,Cause_Name,State,Deaths
2017,Stroke,Alabama,2931
2017,Stroke,Alaska,190
2017,Stroke,Arizona,2681
2017,Stroke,Arkansas,1612
2017,Stroke,California,16355
2017,Stroke,Colorado,1988
2017,Stroke,Connecticut,1403
2017,Stroke,Delaware,571
2017,Stroke,District of Columbia,246
2017,Stroke,Florida,12602
2017,Stroke,Georgia,4399
2017,Stroke,Hawaii,764
2017,Stroke,Idaho,726
2017,Stroke,Illinois,6020
2017,Stroke,Indiana,3150
2017,Stroke,Iowa,1416
2017,Stroke,Kansas,1355
2017,Stroke,Kentucky,2050
2017,Stroke,Louisiana,2460
2017,Stroke,Maine,736
2017,Stroke,Maryland,2820
2017,Stroke,Massachusetts,2367
2017,Stroke,Michigan,5002
2017,Stroke,Minnesota,2250
2017,Stroke,Mississippi,1723
2017,Stroke,Missouri,3159
2017,Stroke,Montana,487
2017,Stroke,Nebraska,760
2017,Stroke,Nevada,1137
2017,Stroke,New Hampshire,514
2017,Stroke,New Jersey,3474
2017,Stroke,New Mexico,878
2017,Stroke,New York,6264
2017,Stroke,North Carolina,5098
2017,Stroke,North Dakota,337
2017,Stroke,Ohio,6425
2017,Stroke,Oklahoma,1947
2017,Stroke,Oregon,2066
2017,Stroke,Pennsylvania,6700
2017,Stroke,Rhode Island,425
2017,Stroke,South Carolina,2691
2017,Stroke,South Dakota,414
2017,Stroke,Tennessee,3519
2017,Stroke,Texas,10790
2017,Stroke,Utah,888
2017,Stroke,Vermont,249
2017,Stroke,Virginia,3555
2017,Stroke,Washington,3028
2017,Stroke,West Virginia,1058
2017,Stroke,Wisconsin,2513
2017,Stroke,Wyoming,190
2017,Diabetes,Alabama,1173
2017,Diabetes,Alaska,130
2017,Diabetes,Arizona,2054
2017,Diabetes,Arkansas,1180
2017,Diabetes,California,9595
2017,Diabetes,Colorado,1017
2017,Diabetes,Connecticut,694
2017,Diabetes,Delaware,244
2017,Diabetes,District of Columbia,138
2017,Diabetes,Florida,6172
2017,Diabetes,Georgia,2348
2017,Diabetes,Hawaii,299
2017,Diabetes,Idaho,394
2017,Diabetes,Illinois,2927
2017,Diabetes,Indiana,2096
2017,Diabetes,Iowa,918
2017,Diabetes,Kansas,874
2017,Diabetes,Kentucky,1474
2017,Diabetes,Louisiana,1272
2017,Diabetes,Maine,395
2017,Diabetes,Maryland,1439
2017,Diabetes,Massachusetts,1321
2017,Diabetes,Michigan,2798
2017,Diabetes,Minnesota,1312
2017,Diabetes,Mississippi,1164
2017,Diabetes,Missouri,1605
2017,Diabetes,Montana,292
2017,Diabetes,Nebraska,575
2017,Diabetes,Nevada,609
2017,Diabetes,New Hampshire,340
2017,Diabetes,New Jersey,1908
2017,Diabetes,New Mexico,673
